,1,2,3,4,5,6,7
서울의 봄,55.50419,73.67073,79.25816,68.82950998088332,79.75650699314565,88.93493,72.35861
파묘,67.49954,82.78116,70.3160259269929,76.3616712729824,78.13019,54.66054,51.43671
범죄도시4,100.0,84.14176,70.42814,55.469570528793554,57.779282465156385,50.76426,42.00864
아바타: 물의 길,84.31055,82.30668,81.87475,70.3160259269929,68.35555358799645,57.97047,53.22427
범죄도시3,95.40589,93.4583,83.45108,70.3160259269929,77.68598819335008,75.90528,73.95812
탑건: 매버릭,47.76435,70.3333,80.55213,70.3160259269929,73.8833973311844,63.51917,55.09826
한산: 용의 출현,76.60501,75.02815,81.71676,70.3160259269929,77.93390331968757,73.24882,62.14314
공조2: 인터내셔날,44.95568,61.63098,85.55714,68.36118415340177,79.75650699314565,80.01477,39.67805
밀수,69.10096,78.07228,77.95637,70.3160259269929,70.81187853906995,72.55591,61.71737
노량: 죽음의 바다,44.5216,64.09829,67.6314,60.00368148101531,79.75650699314565,82.11739,43.53888
헌트,54.15481,61.53569,60.67855,55.34356421033238,79.75650699314565,80.4856,46.10899
가디언즈 오브 갤럭시: Volume 3,43.59502,71.45174,100.0,51.58967988179653,44.339960108180584,35.27559,28.70895
미션 임파서블: 데드 레코닝 PART ONE,29.84272,52.62221,66.76301,70.3160259269929,70.99078833555699,40.91445,33.42786
콘크리트 유토피아,86.39892,89.60977,88.56044,70.3160259269929,71.04605959490323,75.19782,72.18696
웡카,75.76745,83.01571,77.02068,70.3160259269929,74.22244224241226,65.10069,49.8299
올빼미,54.58623,57.09637,74.73146,70.3160259269929,75.76439074341214,58.07248,58.52794
영웅,62.48215,72.18808,74.57641,70.3160259269929,76.21917829758846,68.39014,57.08114
오펜하이머,100.0,75.96485,47.88505,47.40836,40.23876070127466,37.951368190221224,33.42584
쥬라기 월드: 도미니언,100.0,63.81119,65.50343,59.417702878952724,73.38810144710627,70.02542,33.57357
마녀(魔女) Part2. The Other One,38.00357,72.37239,80.6595,70.3160259269929,66.50525845531037,58.38886,48.82331
토르: 러브 앤 썬더,73.45729,77.01659,76.66532,70.3160259269929,72.10250631088374,52.58151,43.07567
30일,74.38101,63.85742,53.65199,61.51196,52.05986908396515,79.75650699314565,82.00159
블랙 팬서: 와칸다 포에버,67.71521,67.33734,69.37357,70.3160259269929,64.37717140876717,45.96353,40.6221
비상선언,96.52671,100.0,88.14752,64.2151262534633,58.68108131407719,50.8776,38.50106
