,1,2,3,4,5,6,7,8,9,10,11,12,13,14
서울의 봄,55.50419,73.67073,79.25816,68.82950998088332,79.75650699314565,88.93493,72.35861,67.6575,59.60923,61.52392,57.90156279112008,68.50240126867224,65.03669,54.5028
파묘,67.49954,82.78116,70.3160259269929,76.3616712729824,78.13019,54.66054,51.43671,51.73657,66.67231,47.573474586937444,44.620001155534915,40.18505,31.9541,30.32924
범죄도시4,100.0,84.14176,70.42814,55.469570528793554,57.779282465156385,50.76426,42.00864,46.50271,32.4333,33.08352,30.877412379549277,41.03737873965631,44.61405,26.91477
아바타: 물의 길,84.31055,82.30668,81.87475,70.3160259269929,68.35555358799645,57.97047,53.22427,51.47691,53.90449,61.28763,61.961743728593916,62.99757525340253,47.31411,41.44004
범죄도시3,95.40589,93.4583,83.45108,70.3160259269929,77.68598819335008,75.90528,73.95812,50.36097,35.65405,39.13952,32.484007003134394,33.55591530897267,28.72155,25.11549
탑건: 매버릭,47.76435,70.3333,80.55213,70.3160259269929,73.8833973311844,63.51917,55.09826,58.12355,55.43166,62.94722,62.609994203217454,63.15014945128041,54.19528,49.69979
한산: 용의 출현,76.60501,75.02815,81.71676,70.3160259269929,77.93390331968757,73.24882,62.14314,65.80206,65.54522,65.96645,60.69499348991655,61.107864454960435,51.47821,42.35108
공조2: 인터내셔날,44.95568,61.63098,85.55714,68.36118415340177,79.75650699314565,80.01477,39.67805,28.83514,26.04795,30.85776,31.16956843567334,29.912901265998855,23.24576,20.64981
밀수,69.10096,78.07228,77.95637,70.3160259269929,70.81187853906995,72.55591,61.71737,61.6546,62.76054,63.53932,56.611334031385695,55.47060275982861,49.45402,39.34417
노량: 죽음의 바다,44.5216,64.09829,67.6314,60.00368148101531,79.75650699314565,82.11739,43.53888,36.70048,32.70949,37.78459,35.005363902811546,39.6830813483099,44.63079,24.47663
헌트,54.15481,61.53569,60.67855,55.34356421033238,79.75650699314565,80.4856,46.10899,34.77802,33.38848,34.28923,31.987498512461308,44.777368719483086,29.09269,24.2334
가디언즈 오브 갤럭시: Volume 3,43.59502,71.45174,100.0,51.58967988179653,44.339960108180584,35.27559,28.70895,27.62583,25.98733,31.59473,29.940683376957658,28.53377567402548,22.80277,19.34053
미션 임파서블: 데드 레코닝 PART ONE,29.84272,52.62221,66.76301,70.3160259269929,70.99078833555699,40.91445,33.42786,33.26288,33.43809,36.5542,34.56240809748445,36.81851474054128,34.11639,26.76546
콘크리트 유토피아,86.39892,89.60977,88.56044,70.3160259269929,71.04605959490323,75.19782,72.18696,51.07568,36.60883,37.23107,29.952461311300425,30.385482496885345,28.09211,23.21428
웡카,70.4488,77.18826,71.61406,65.38004482339319,69.01224473962593,60.53081,46.33199,47.66046,65.39333,81.54564,63.7991436756818,79.75650699314565,88.98318,60.37171
올빼미,54.58623,57.09637,74.73146,70.3160259269929,75.76439074341214,58.07248,58.52794,63.87,57.47947,54.37383,51.92242937968825,60.6090433332732,47.53032,40.13522
영웅,62.48215,72.18808,74.57641,70.3160259269929,76.21917829758846,68.39014,57.08114,56.6071,58.45174,63.22841,54.36428698045234,57.3614939545742,55.773,46.8902
오펜하이머,100.0,75.96485,47.88505,47.40836,40.23876070127466,37.951368190221224,33.42584,24.87973,22.66795,20.68082,22.49424,19.99813091133012,20.888715696197504,17.75055
쥬라기 월드: 도미니언,100.0,63.81119,65.50343,59.417702878952724,73.38810144710627,70.02542,33.57357,29.4175,29.95586,34.49305,37.953595332686284,35.737160067426814,24.44658,20.59389
마녀(魔女) Part2. The Other One,38.00357,72.37239,80.6595,70.3160259269929,66.50525845531037,58.38886,48.82331,47.44127,42.78597,44.04311,36.23029016926754,39.08627138213089,36.03226,31.10585
토르: 러브 앤 썬더,73.45729,77.01659,76.66532,70.3160259269929,72.10250631088374,52.58151,43.07567,36.42194,33.63042,38.89772,35.92665853771219,35.734615834853734,30.19812,27.05824
30일,74.38101,63.85742,53.65199,61.51196,52.05986908396515,79.75650699314565,82.00159,51.45268,45.5095,47.50271,49.70358,49.97477390394684,49.761679843163435,41.90434
블랙 팬서: 와칸다 포에버,67.71521,67.33734,69.37357,70.3160259269929,64.37717140876717,45.96353,40.6221,43.74413,43.41925,53.2836,48.19748712742395,45.57750194893973,33.52841,29.84649
비상선언,96.52671,100.0,88.14752,64.2151262534633,58.68108131407719,50.8776,38.50106,34.85949,29.75433,29.52261,24.663064829789054,31.914295101183455,33.17835,19.99977
듄: 파트2,59.47599,85.27287,100.0,59.08845511915217,47.9398498078232,41.04356,35.38566,33.38515,31.37119,38.02438,38.672864993496084,38.34237446575512,31.11813,26.67995
육사오(6/45),55.7154,54.92703,72.17781,68.97204056543733,69.37527243250662,70.71566,74.07082,67.58738,59.00009,69.58753,70.3160259269929,73.24847173031336,50.81845,47.2364
존 윅 4,73.86113,79.36647,74.84138,70.3160259269929,70.1982000716619,56.43253,46.59675,42.11263,40.19787,50.65203,48.52689661408413,49.80600850975023,40.19824,35.06392
천박사 퇴마 연구소: 설경의 비밀,54.39489,90.56454,100.0,67.62353388341464,63.597862603286444,71.08514,51.71793,26.50876,19.82569,22.4863,18.421497946392492,26.525849780918147,24.79572,14.82083
헤어질 결심,79.77385,87.34505,84.86067,70.3160259269929,74.22991542711752,78.47386,69.85322,62.56907,58.84512,65.70329,56.24173190430564,62.296938266419836,61.05655,51.88543
분노의 질주: 라이드 오어 다이,61.46216,72.08416,79.75611,70.3160259269929,66.99793832595914,52.67219,46.06549,48.27185,48.62473,57.60021,66.54472431883494,79.11798437380922,67.57416,38.85856
교섭,53.00934,63.45611,69.57795,57.74499009618845,77.36854134421598,100.0,76.26167,43.59899,32.17176,33.99707,30.93319408291716,27.718177657862874,23.01,18.93341
시민덕희,58.87173,66.0944,75.01622,70.3160259269929,69.98837665306434,57.91016,50.79507,52.52666,46.91247,46.68425,47.52016097607959,48.85808647283529,39.62842,30.34363
앤트맨과 와스프: 퀀텀매니아,80.9493,74.78395,74.79541,70.3160259269929,63.61305621786863,49.20174,43.7551,41.69998,41.98589,45.97073,43.100897189004385,42.16314981151526,34.84027,38.56786
외계+인 1부,64.67847,76.30586,79.56502,70.3160259269929,71.50639820196626,60.77891,54.14576,52.8513,42.25061,42.96106,36.71175806199484,39.959246229424366,38.3295,30.30034
잠,58.31183,75.25955,80.952,70.3160259269929,72.08228803636098,61.20781,48.58399,47.02478,43.77924,53.08184,53.01419818784629,51.09792833697729,40.03487,32.77401
외계+인 2부,66.13864,78.88549,78.24014,70.3160259269929,70.38811626611398,51.21147,46.96678,44.88673,42.15473,45.70002,42.86129533065816,46.35881264274598,37.33773,30.22116
달짝지근해: 7510,92.27279,93.94674,79.54944,80.86524,70.3160259269929,71.22729828139447,62.41269,53.13334,51.82089,49.69269,56.25272,49.21194346507527,51.53393323375673,43.81488
브로커,82.93962,91.5122,82.62876,70.3160259269929,72.13198431586841,59.17213,43.39345,38.96877,34.36788,35.53265,32.119805146845536,29.07168545979005,23.92098,21.36148
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",33.13554,37.55353,41.09596,35.87563019769698,45.11078282131724,45.36673,51.12541,58.68653,60.66967,76.78125,70.3160259269929,78.44703275872938,84.84429,78.90492
인생은 아름다워,62.11144,71.05203,67.39779,57.895705466160365,78.12189738232114,94.07686,58.66827,46.81844,53.52581,61.29926,53.259200316983716,79.75650699314565,76.38238,49.22408
드림,72.19391,86.02286,83.02259,70.3160259269929,70.52776193420827,64.45402,43.62341,38.21869,41.96759,56.70412,31.692684510557203,27.312017646000278,22.78434,18.89727
비공식작전,77.29542,85.47594,86.78021,70.3160259269929,68.2387262565529,57.31527,45.32605,39.02932,36.96095,48.73083,45.45924747737759,43.2378288649944,46.07003,45.74834
1947 보스톤,57.17382,93.48269,100.0,65.80185659972403,60.22495992254631,66.92605,45.05098,21.84901,17.15189,21.11497,16.733055468628354,21.92527113933392,20.59437,12.69217
댓글부대,87.15022,97.97418,84.68889,70.3160259269929,61.11092710482897,47.50997,37.46878,36.11131,30.14938,35.9879,31.017531124413996,28.435164728779156,25.1973,25.75981
데시벨,69.32062,85.01867,84.5526,70.3160259269929,73.18342232320975,57.93831,48.40441,43.18704,34.40154,41.56631,40.45368866612311,39.56132506473416,28.11662,28.57872
정직한 후보2,68.15014,89.26798,82.46179,65.25109226344568,79.75650699314565,86.52284,45.65441,39.61887,38.19277,41.72233,38.39236733447071,54.17342697879068,48.72008,25.76359
아쿠아맨과 로스트 킹덤,72.82577,71.25137,68.6598,62.183302494687275,79.75650699314565,82.03616,38.39031,35.20607,34.46864,42.07295,38.78721994646115,40.80979354695137,44.29129,22.20596
인디아나 존스: 운명의 다이얼,59.61262,70.47987,81.1245,70.3160259269929,58.781781879806736,45.77576,39.57585,37.87236,33.46284,46.75102,43.443287014050696,35.36873285902267,26.3602,24.57269
블랙 아담,75.10852,74.90179,80.25068,70.3160259269929,65.51761767791285,49.87431,42.96041,40.99668,33.61248,37.87719,34.64123939415121,29.537910097069187,24.65358,21.17242
트랜스포머: 비스트의 서막,100.0,58.12365,64.96506,74.13142,65.6590658458741,65.17518311513777,50.08247,45.37479,42.40689,35.28707,41.37626,38.84464001323313,36.93173707786875,29.52566
대외비,100.0,72.47257,68.9773,57.9997872477375,54.489470113401715,38.85317,31.13641,29.64748,23.24227,23.90755,23.22169177232459,23.50834209533947,17.6739,14.96114
자백,53.24456,61.55303,77.34301,70.3160259269929,62.72976885422094,58.77551,51.2699,47.95806,49.22796,59.27169,58.335173596601486,53.62278805451,42.1664,37.21798
프레디의 피자가게,51.7644,77.23932,77.46131,70.3160259269929,67.86887140667358,55.96823,41.68977,39.31333,35.57609,40.67186,40.1303685473082,37.74297241309883,28.11686,24.78181
리바운드,63.43455,68.68538,68.00585,70.3160259269929,72.01353792733289,56.89456,48.48945,40.30305,36.86553,38.81614,37.91983660863873,38.32595260096523,33.19041,27.35049
더 마블스,100.0,86.58613,81.45758,66.63392019772334,60.99488936280464,48.66193,43.21898,39.11819,33.17407,35.54482,31.219626414530765,27.47428225947783,21.57398,18.35935
귀공자,83.02956,93.68237,92.94656,70.3160259269929,75.49294744751167,68.98739,59.74005,55.32568,51.03829,56.32172,43.90562894772586,41.631692327166434,36.32452,34.6255
유령,66.59034,79.27332,81.85842,60.46840009636681,79.0985158104522,100.0,77.1313,44.5899,33.05833,34.72405,32.88337390398935,29.95616917104264,25.13917,21.67489
인어공주,100.0,94.17408,83.94388,63.485492010431855,66.18596923086471,67.54869,64.4574,41.99549,33.71626,31.83405,23.05578814075244,23.955648489159827,28.67274,28.92957
플래시,89.73415,83.65403,85.95482,70.3160259269929,68.13483543054363,57.92813,46.25689,40.74773,34.75769,37.16211,30.87484584460294,27.153238391878325,24.15591,20.42128
압꾸정,100.0,85.02663,72.02944,66.54635565063644,68.93953073220027,48.11898,45.16211,45.78521,45.92946,49.13227,42.756011145037675,42.41917617461396,30.5281,25.85794
바비,99.37797,100.0,88.68441,64.26594364540074,66.51613724286425,79.74989,59.21646,51.885,46.92722,43.84107,34.21217803554729,35.808901045467145,41.18683,35.74269
남은 인생 10년,49.04997,63.35992,71.38276,70.3160259269929,77.72328233602009,84.04308,50.75657,43.21072,38.37449,40.25201,34.918565800407265,44.16027667357572,54.28503,45.06306
괴물,53.46299,77.84475,82.30477,70.3160259269929,67.92322546618941,64.78126,67.23088,60.44506,53.16511,53.78424,47.39318429646063,47.04147251305241,52.68033,52.64996
3일의 휴가,66.43193,88.23431,93.43096,70.3160259269929,69.32387733940024,69.20786,60.20426,53.90527,51.0144,56.08987,46.15091106640845,43.76667033591385,41.98448,38.63592
더 문,93.42782,100.0,85.05821,64.9389172347402,62.63491444045399,65.84944,50.85961,43.21303,35.26735,40.14385,30.131647640170186,31.166434286410126,37.50942,31.9391
고질라 X 콩: 뉴 엠파이어,61.03926,70.37274,75.89208,70.3160259269929,59.694491418884205,40.13513,34.23699,33.27752,25.0282,30.72091,33.16867414758553,34.39039169034056,25.33575,24.55796
동감,96.13013,99.59426,85.66706,70.3160259269929,73.32767791740825,57.28442,45.50215,39.06509,30.65179,35.13026,31.647098630948737,30.04843947398301,21.63445,21.38542
소년들,60.96625,66.36262,80.89498,70.3160259269929,68.03661529218157,55.27005,45.17936,42.26877,38.32969,45.99976,42.232339573548984,40.685804081179825,33.24845,30.50074
늑대사냥,100.0,96.81323,81.57175,55.81428078269545,54.49344996310068,46.07625,34.69351,29.83407,22.608,23.36106,20.44513691975061,24.4539751205037,25.46935,16.13169
타겟,57.32147,69.63174,76.53081,70.3160259269929,72.53427613714183,57.46465,50.03579,44.52044,36.03134,34.96524,31.05421499514011,31.524381489795363,25.07029,20.56377
스위치,60.90752,73.0637,77.72465,70.3160259269929,62.495380431469485,50.34324,42.25912,35.11998,33.6059,43.33863,32.53280632512773,30.253118597879517,22.43097,19.354
놉,90.26416,89.09047,84.42109,70.3160259269929,66.98345454428917,53.96372,49.1596,37.82043,33.70177,29.08057,23.747184528884787,22.008863934313435,21.04115,19.24709
서치 2,71.96896,71.66777,77.68174,70.3160259269929,69.4231821662574,58.82753,63.69852,68.97532,33.59427,42.91641,45.125963577688815,38.27259549778682,25.42703,24.14996
리멤버,68.9181,92.4884,88.3256,70.3160259269929,60.609194870636486,53.40436,43.70444,41.38734,40.32959,47.79749,45.417472726374356,40.11452417288932,31.99708,27.40045
인시디어스: 빨간 문,79.88575,83.84921,86.25199,70.3160259269929,70.92761320636771,58.65965,48.96691,39.33651,35.91254,37.52649,32.17461648905563,32.92008845957262,34.02772,30.50855
싱글 인 서울,73.96282,74.72081,75.17966,70.3160259269929,69.78152017652691,64.21024,55.57844,48.31622,42.07353,41.81951,35.53313489861178,35.65243473004799,33.77732,29.43538
카운트,63.22757,74.47733,81.82189,70.3160259269929,68.4003767449266,56.95235,59.69376,71.41256,35.39412,38.58455,37.764972593137124,33.41466653508781,18.73679,15.13254
에브리씽 에브리웨어 올 앳 원스,46.85096,55.20846,63.6762,66.58042376519808,79.75650699314565,77.84991,77.32995,61.82367,50.91809,63.14263,52.39317407846168,59.69660496631951,58.91488,55.99112
